prompt_id,domain,vagueness,final_cov,n_resolved,n_mentioned,n_absent,set
P01,Consulting,Ultra-vague,0.5859,9,2,6,orig
P02,Consulting,Ultra-vague,0.4192,5,2,10,orig
P03,Consulting,Ultra-vague,0.5164,7,1,9,orig
P04,Consulting,Ultra-vague,0.2505,4,6,7,orig
P05,Consulting,Ultra-vague,0.4888,7,8,2,orig
P06,Consulting,Medium,0.5164,7,2,8,orig
P07,Consulting,Medium,0.4499,6,1,10,orig
P08,Consulting,Medium,0.5348,7,4,6,orig
P09,Consulting,Medium,0.363,5,5,7,orig
P10,Consulting,Medium,0.6115,9,0,8,orig
P11,Consulting,Medium,0.683,10,0,7,orig
P12,Consulting,Medium,0.6524,9,1,7,orig
P13,Consulting,Medium,0.4785,6,5,6,orig
P14,Consulting,Medium,0.545,8,2,7,orig
P15,Consulting,Medium,0.3885,5,2,10,orig
P16,Consulting,Detailed,0.6728,10,1,6,orig
P17,Consulting,Detailed,0.2914,3,0,14,orig
P18,Consulting,Detailed,0.5399,8,2,7,orig
P19,Consulting,Detailed,0.3067,4,1,12,orig
P20,Consulting,Detailed,0.5399,7,0,10,orig
P21,Medical,Ultra-vague,0.2228,3,4,10,orig
P22,Medical,Ultra-vague,0.0891,1,0,16,orig
P23,Medical,Medium,0.1584,2,0,15,orig
P24,Medical,Medium,0.396,5,2,10,orig
P25,Medical,Medium,0.1832,3,6,8,orig
P26,Medical,Detailed,0.2772,3,0,14,orig
P27,Medical,Medium,0.4356,7,1,9,orig
P28,Medical,Medium,0.4703,7,0,10,orig
P29,Medical,Detailed,0.3614,5,1,11,orig
P30,Medical,Ultra-vague,0.0891,2,5,10,orig
P31,Medical,Medium,0.099,1,3,13,orig
P32,Medical,Medium,0.3762,6,7,4,orig
P33,Medical,Detailed,0.7426,11,1,5,orig
P34,Medical,Detailed,0.6881,10,2,5,orig
P35,Medical,Detailed,0.604,9,0,8,orig
P36,Payments,Ultra-vague,0.6075,7,2,2,orig
P37,Payments,Ultra-vague,0.2056,2,1,8,orig
P38,Payments,Ultra-vague,0.8037,8,1,2,orig
P39,Payments,Ultra-vague,0.1121,3,4,4,orig
P40,Payments,Ultra-vague,0.0935,3,5,3,orig
P41,Payments,Medium,0.4953,7,0,4,orig
P42,Payments,Medium,0.2056,2,1,8,orig
P43,Payments,Medium,0.1028,3,0,8,orig
P44,Payments,Detailed,0.1308,4,3,4,orig
P45,Payments,Medium,0.4019,4,2,5,orig
P46,Payments,Detailed,0.4486,6,1,4,orig
P47,Payments,Medium,0.0374,1,0,10,orig
P48,Payments,Detailed,0.0,0,0,11,orig
P49,Payments,Detailed,0.271,4,3,4,orig
P50,Payments,Ultra-vague,0.2336,3,2,6,orig
N01,Consulting,Ultra-vague,0.0613,1,9,7,new
N02,Consulting,Ultra-vague,0.5215,8,4,5,new
N03,Consulting,Ultra-vague,0.4325,7,3,7,new
N04,Consulting,Ultra-vague,0.1022,2,5,10,new
N05,Consulting,Ultra-vague,0.3865,5,3,9,new
N06,Consulting,Ultra-vague,0.4192,5,2,10,new
N07,Consulting,Ultra-vague,0.6319,9,1,7,new
N08,Consulting,Ultra-vague,0.5112,7,1,9,new
