prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
P01,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.4499,DONE,5,1,11
P02,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.5879,DONE,8,2,7
P03,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4427,DONE,7,1,9
P04,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.3067,DONE,4,2,11
P05,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4479,DONE,6,2,9
P06,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.6217,DONE,8,1,8
P07,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.5245,DONE,8,0,9
P08,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.4939,DONE,7,2,8
P09,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.5317,DONE,7,1,9
P10,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.5982,DONE,8,1,8
P11,Consulting,Medium,claude-haiku-4-5,anthropic_api,6,0.4703,DONE,7,1,9
P12,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.683,DONE,10,0,7
P13,Consulting,Medium,claude-haiku-4-5,anthropic_api,6,0.4703,DONE,6,5,6
P14,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.5808,DONE,9,0,8
P15,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.4479,DONE,6,0,11
P16,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.683,DONE,10,1,6
P17,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.5419,DONE,7,1,9
P18,Consulting,Detailed,claude-haiku-4-5,anthropic_api,6,0.6575,DONE,9,3,5
P19,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.4652,DONE,6,4,7
P20,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.5859,DONE,8,1,8
P21,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.5594,DONE,8,3,6
P22,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.495,DONE,7,5,5
P23,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.3317,DONE,5,3,9
P24,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.5,DONE,8,3,6
P25,Medical,Medium,claude-haiku-4-5,anthropic_api,7,0.4455,DONE,6,3,8
P26,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.698,DONE,11,3,3
P27,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.7277,DONE,12,1,4
P28,Medical,Medium,claude-haiku-4-5,anthropic_api,7,0.4703,DONE,7,0,10
P29,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.7475,DONE,11,1,5
P30,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.7277,DONE,12,2,3
P31,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.3366,DONE,6,0,11
P32,Medical,Medium,claude-haiku-4-5,anthropic_api,7,0.8812,DONE,13,3,1
P33,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.7822,DONE,12,1,4
P34,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.7228,DONE,10,1,6
P35,Medical,Detailed,claude-haiku-4-5,anthropic_api,7,0.6584,DONE,9,1,7
P36,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4486,DONE,6,0,5
P37,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.4299,DONE,4,0,7
P38,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.6636,DONE,8,0,3
P39,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.486,DONE,6,1,4
P40,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.5701,DONE,6,2,3
P41,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.4766,DONE,6,2,3
P42,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.7009,DONE,5,0,6
P43,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.6449,DONE,8,0,3
P44,Payments,Detailed,claude-haiku-4-5,anthropic_api,7,0.785,DONE,8,1,2
P45,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.2523,DONE,3,3,5
P46,Payments,Detailed,claude-haiku-4-5,anthropic_api,8,0.6355,DONE,8,1,2
P47,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.7757,DONE,8,0,3
P48,Payments,Detailed,claude-haiku-4-5,anthropic_api,6,0.7944,DONE,9,0,2
P49,Payments,Detailed,claude-haiku-4-5,anthropic_api,8,0.4206,DONE,5,0,6
P50,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.8037,DONE,8,1,2
N01,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.4346,DONE,6,1,10
N02,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4888,DONE,7,2,8
N03,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.3067,DONE,4,5,8
N04,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.499,DONE,7,0,10
N05,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.3763,DONE,5,2,10
N06,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.4018,DONE,5,0,12
N07,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.5215,DONE,7,1,9
N08,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.4785,DONE,7,2,8
N09,Consulting,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.4448,DONE,6,0,11
N10,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.5675,DONE,8,0,9
N11,Consulting,Medium,claude-haiku-4-5,anthropic_api,6,0.6779,DONE,10,0,7
N12,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.6933,DONE,10,1,6
N13,Consulting,Medium,claude-haiku-4-5,anthropic_api,6,0.6933,DONE,10,1,6
N14,Consulting,Medium,claude-haiku-4-5,anthropic_api,6,0.3865,DONE,5,6,6
N15,Consulting,Medium,claude-haiku-4-5,anthropic_api,6,0.453,DONE,7,1,9
N16,Consulting,Medium,claude-haiku-4-5,anthropic_api,6,0.5879,DONE,8,2,7
N17,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.4785,DONE,6,1,10
