prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
P01,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.7055,DONE,10,1,6
P02,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5399,DONE,7,0,10
P03,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4479,DONE,7,1,9
P04,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,6,0.3937,DONE,5,3,9
P05,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4908,DONE,6,2,9
P06,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5603,DONE,8,0,9
P07,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5399,DONE,7,0,10
P08,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.6268,DONE,9,1,7
P09,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.6166,DONE,9,0,8
P10,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.6646,DONE,9,1,7
P11,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5624,DONE,8,1,8
P12,Consulting,Medium,claude-opus-4-8,anthropic_api,6,0.5143,DONE,8,1,8
P13,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.4192,DONE,5,1,11
P14,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.7648,DONE,11,0,6
P15,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5552,DONE,8,0,9
P16,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.6268,DONE,9,2,6
P17,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.6728,DONE,9,3,5
P18,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.8415,DONE,12,1,4
P19,Consulting,Detailed,claude-opus-4-8,anthropic_api,6,0.6728,DONE,9,1,7
P20,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.5399,DONE,7,2,8
P21,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5446,DONE,8,4,5
P22,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,6,0.401,DONE,5,7,5
P23,Medical,Medium,claude-opus-4-8,anthropic_api,7,0.4059,DONE,7,2,8
P24,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.5,DONE,8,4,5
P25,Medical,Medium,claude-opus-4-8,anthropic_api,7,0.4802,DONE,7,0,10
P26,Medical,Detailed,claude-opus-4-8,anthropic_api,7,0.1782,DONE,2,1,14
P27,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.505,DONE,8,2,7
P28,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.4703,DONE,7,0,10
P29,Medical,Detailed,claude-opus-4-8,anthropic_api,7,0.4505,DONE,6,5,6
P30,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.1337,DONE,3,11,3
P31,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.1634,DONE,3,2,12
P32,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.797,DONE,12,4,1
P33,Medical,Detailed,claude-opus-4-8,anthropic_api,5,0.7822,DONE,12,0,5
P34,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.8218,DONE,13,1,3
P35,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.7871,DONE,13,1,3
P36,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.6262,DONE,7,0,4
P37,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,8,0.4019,DONE,4,0,7
P38,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.8037,DONE,9,0,2
P39,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.6355,DONE,7,1,3
P40,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.6075,DONE,6,1,4
P41,Payments,Medium,claude-opus-4-8,anthropic_api,6,0.7944,DONE,8,1,2
P42,Payments,Medium,claude-opus-4-8,anthropic_api,6,0.8505,DONE,6,1,4
P43,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.4766,DONE,7,2,2
P44,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.9813,DONE,10,0,1
P45,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.9065,DONE,8,1,2
P46,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.3364,DONE,7,1,3
P47,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.4019,DONE,5,1,5
P48,Payments,Detailed,claude-opus-4-8,anthropic_api,8,0.7944,DONE,9,0,2
P49,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.729,DONE,7,0,4
P50,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.7944,DONE,8,0,3
N01,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.683,DONE,10,0,7
N02,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,6,0.4785,DONE,6,2,9
N03,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5624,DONE,8,3,6
N04,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4836,DONE,7,0,10
N05,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5757,DONE,8,0,9
N06,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5859,DONE,9,1,7
