prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
P01,Consulting,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.5879,DONE,8,2,7
P02,Consulting,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.5726,DONE,8,0,9
P03,Consulting,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.6063,DONE,10,1,6
P04,Consulting,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.3067,DONE,4,1,12
P05,Consulting,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.5061,DONE,7,4,6
P06,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.5603,DONE,8,3,6
P07,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.4683,DONE,7,0,10
P08,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.4888,DONE,7,2,8
P09,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.6166,DONE,9,2,6
P10,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.8415,DONE,12,0,5
P11,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.6472,DONE,9,0,8
P12,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.4939,DONE,7,2,8
P13,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.5879,DONE,8,1,8
P14,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.7802,DONE,11,1,5
P15,Consulting,Medium,claude-sonnet-5,anthropic_api,7,0.5552,DONE,8,0,9
P16,Consulting,Detailed,claude-sonnet-5,anthropic_api,7,0.7086,DONE,11,0,6
P17,Consulting,Detailed,claude-sonnet-5,anthropic_api,7,0.5297,DONE,7,3,7
P18,Consulting,Detailed,claude-sonnet-5,anthropic_api,7,0.7188,DONE,11,2,4
P19,Consulting,Detailed,claude-sonnet-5,anthropic_api,7,0.6524,DONE,10,0,7
P20,Consulting,Detailed,claude-sonnet-5,anthropic_api,7,0.6472,DONE,9,0,8
P21,Medical,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.495,DONE,7,3,7
P22,Medical,Ultra-vague,claude-sonnet-5,anthropic_api,6,0.3218,DONE,5,3,9
P23,Medical,Medium,claude-sonnet-5,anthropic_api,7,0.2426,DONE,4,4,9
P24,Medical,Medium,claude-sonnet-5,anthropic_api,6,0.5495,DONE,8,1,8
P25,Medical,Medium,claude-sonnet-5,anthropic_api,7,0.6485,DONE,9,1,7
P26,Medical,Detailed,claude-sonnet-5,anthropic_api,6,0.6386,DONE,10,2,5
P27,Medical,Medium,claude-sonnet-5,anthropic_api,7,0.6089,DONE,9,3,5
P28,Medical,Medium,claude-sonnet-5,anthropic_api,7,0.6832,DONE,10,0,7
P29,Medical,Detailed,claude-sonnet-5,anthropic_api,7,0.4406,DONE,6,4,7
P30,Medical,Ultra-vague,claude-sonnet-5,anthropic_api,6,0.4208,DONE,7,4,6
P31,Medical,Medium,claude-sonnet-5,anthropic_api,7,0.203,DONE,4,0,13
P32,Medical,Medium,claude-sonnet-5,anthropic_api,6,0.7475,DONE,10,3,4
P33,Medical,Detailed,claude-sonnet-5,anthropic_api,6,0.8416,DONE,13,2,2
P34,Medical,Detailed,claude-sonnet-5,anthropic_api,7,0.797,DONE,12,2,3
P35,Medical,Detailed,claude-sonnet-5,anthropic_api,6,0.797,DONE,13,1,3
P36,Payments,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.7664,DONE,8,1,2
P37,Payments,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.7103,DONE,6,1,4
P38,Payments,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.6636,DONE,8,0,3
P39,Payments,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.4299,DONE,6,2,3
P40,Payments,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.785,DONE,8,0,3
P41,Payments,Medium,claude-sonnet-5,anthropic_api,7,0.8131,DONE,9,1,1
P42,Payments,Medium,claude-sonnet-5,anthropic_api,7,0.6916,DONE,5,2,4
P43,Payments,Medium,claude-sonnet-5,anthropic_api,7,0.3178,DONE,6,1,4
P44,Payments,Detailed,claude-sonnet-5,anthropic_api,7,0.8131,DONE,9,0,2
P45,Payments,Medium,claude-sonnet-5,anthropic_api,7,0.3925,DONE,4,1,6
P46,Payments,Detailed,claude-sonnet-5,anthropic_api,7,0.8131,DONE,9,1,1
P47,Payments,Medium,claude-sonnet-5,anthropic_api,7,0.2336,DONE,4,2,5
P48,Payments,Detailed,claude-sonnet-5,anthropic_api,7,0.8411,DONE,10,1,0
P49,Payments,Detailed,claude-sonnet-5,anthropic_api,7,0.7383,DONE,6,1,4
P50,Payments,Ultra-vague,claude-sonnet-5,anthropic_api,7,0.6262,DONE,7,0,4
