prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
P01,Consulting,Ultra-vague,gemini-2.5-flash,gemini_api,8,0.5726,DONE,7,0,10
P02,Consulting,Ultra-vague,gemini-2.5-flash,gemini_api,6,0.3476,DONE,4,1,12
P03,Consulting,Ultra-vague,gemini-2.5-flash,gemini_api,5,0.3405,DONE,4,1,12
P04,Consulting,Ultra-vague,gemini-2.5-flash,gemini_api,7,0.3374,DONE,5,5,7
P05,Consulting,Ultra-vague,gemini-2.5-flash,gemini_api,7,0.4376,DONE,5,7,5
P06,Consulting,Medium,gemini-2.5-flash,gemini_api,6,0.591,DONE,8,1,8
P07,Consulting,Medium,gemini-2.5-flash,gemini_api,7,0.3865,DONE,5,0,12
P08,Consulting,Medium,gemini-2.5-flash,gemini_api,6,0.591,DONE,9,0,8
P09,Consulting,Medium,gemini-2.5-flash,gemini_api,6,0.4652,error_turn_6,6,1,10
P10,Consulting,Medium,gemini-2.5-flash,gemini_api,7,0.5061,DONE,6,1,10
P11,Consulting,Medium,gemini-2.5-flash,gemini_api,6,0.5624,DONE,8,0,9
P12,Consulting,Medium,gemini-2.5-flash,gemini_api,5,0.2894,DONE,4,0,13
P13,Consulting,Medium,gemini-2.5-flash,gemini_api,7,0.4192,DONE,5,0,12
P14,Consulting,Medium,gemini-2.5-flash,gemini_api,7,0.4479,DONE,7,1,9
P15,Consulting,Medium,gemini-2.5-flash,gemini_api,7,0.5399,DONE,7,0,10
P16,Consulting,Detailed,gemini-2.5-flash,gemini_api,8,0.6728,DONE,10,1,6
P17,Consulting,Detailed,gemini-2.5-flash,gemini_api,7,0.4499,DONE,6,1,10
P18,Consulting,Detailed,gemini-2.5-flash,gemini_api,7,0.7342,DONE,10,0,7
P19,Consulting,Detailed,gemini-2.5-flash,gemini_api,6,0.6268,DONE,9,1,7
P20,Consulting,Detailed,gemini-2.5-flash,gemini_api,6,0.5399,DONE,7,0,10
P21,Medical,Ultra-vague,gemini-2.5-flash,gemini_api,7,0.6287,DONE,9,2,6
P22,Medical,Ultra-vague,gemini-2.5-flash,gemini_api,7,0.2921,DONE,4,4,9
P23,Medical,Medium,gemini-2.5-flash,gemini_api,5,0.2079,DONE,3,0,14
P24,Medical,Medium,gemini-2.5-flash,gemini_api,7,0.5,DONE,8,2,7
P25,Medical,Medium,gemini-2.5-flash,gemini_api,8,0.6535,DONE,10,2,5
P26,Medical,Detailed,gemini-2.5-flash,gemini_api,8,0.5198,DONE,9,3,5
P27,Medical,Medium,gemini-2.5-flash,gemini_api,8,0.5099,DONE,8,3,6
P28,Medical,Medium,gemini-2.5-flash,gemini_api,7,0.5842,DONE,9,2,6
P29,Medical,Detailed,gemini-2.5-flash,gemini_api,8,0.5842,DONE,8,2,7
P30,Medical,Ultra-vague,gemini-2.5-flash,gemini_api,7,0.505,DONE,7,5,5
P31,Medical,Medium,gemini-2.5-flash,gemini_api,8,0.3069,DONE,6,1,10
P32,Medical,Medium,gemini-2.5-flash,gemini_api,8,0.8911,DONE,13,1,3
P33,Medical,Detailed,gemini-2.5-flash,gemini_api,9,0.8267,DONE,12,0,5
P34,Medical,Detailed,gemini-2.5-flash,gemini_api,8,0.8416,DONE,12,0,5
P35,Medical,Detailed,gemini-2.5-flash,gemini_api,8,0.6881,DONE,11,0,6
P36,Payments,Ultra-vague,gemini-2.5-flash,gemini_api,8,0.3271,DONE,5,1,5
P37,Payments,Ultra-vague,gemini-2.5-flash,gemini_api,8,0.6168,DONE,7,1,3
P38,Payments,Ultra-vague,gemini-2.5-flash,gemini_api,8,0.6636,DONE,8,0,3
P39,Payments,Ultra-vague,gemini-2.5-flash,gemini_api,7,0.4486,DONE,6,0,5
P40,Payments,Ultra-vague,gemini-2.5-flash,gemini_api,8,0.4579,DONE,6,1,4
P41,Payments,Medium,gemini-2.5-flash,gemini_api,7,0.4486,DONE,5,1,5
P42,Payments,Medium,gemini-2.5-flash,gemini_api,8,0.5421,DONE,4,1,6
P43,Payments,Medium,gemini-2.5-flash,gemini_api,7,0.6636,DONE,9,0,2
P44,Payments,Detailed,gemini-2.5-flash,gemini_api,6,0.6636,DONE,8,0,3
P45,Payments,Medium,gemini-2.5-flash,gemini_api,8,0.7103,DONE,6,1,4
P46,Payments,Detailed,gemini-2.5-flash,gemini_api,8,0.4486,DONE,6,0,5
P47,Payments,Medium,gemini-2.5-flash,gemini_api,8,0.3832,DONE,5,0,6
P48,Payments,Detailed,gemini-2.5-flash,gemini_api,6,0.8318,DONE,10,0,1
P49,Payments,Detailed,gemini-2.5-flash,gemini_api,5,0.5794,DONE,6,0,5
P50,Payments,Ultra-vague,gemini-2.5-flash,gemini_api,5,0.2336,DONE,3,2,6
