prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
P01,Consulting,Ultra-vague,gemma3:4b,ollama_local,5,0.3783,DONE,4,3,10
P02,Consulting,Ultra-vague,gemma3:4b,ollama_local,4,0.1892,DONE,2,4,11
P03,Consulting,Ultra-vague,gemma3:4b,ollama_local,4,0.2485,DONE,3,1,13
P04,Consulting,Ultra-vague,gemma3:4b,ollama_local,4,0.3885,DONE,5,0,12
P05,Consulting,Ultra-vague,gemma3:4b,ollama_local,4,0.3425,DONE,4,3,10
P06,Consulting,Medium,gemma3:4b,ollama_local,4,0.5143,DONE,6,3,8
P07,Consulting,Medium,gemma3:4b,ollama_local,4,0.4192,DONE,6,0,11
P08,Consulting,Medium,gemma3:4b,ollama_local,4,0.4018,DONE,5,0,12
P09,Consulting,Medium,gemma3:4b,ollama_local,5,0.4192,DONE,6,0,11
P10,Consulting,Medium,gemma3:4b,ollama_local,4,0.4499,DONE,5,0,12
P11,Consulting,Medium,gemma3:4b,ollama_local,4,0.363,DONE,4,4,9
P12,Consulting,Medium,gemma3:4b,ollama_local,4,0.4785,DONE,6,1,10
P13,Consulting,Medium,gemma3:4b,ollama_local,4,0.2863,DONE,3,1,13
P14,Consulting,Medium,gemma3:4b,ollama_local,4,0.4243,DONE,5,3,9
P15,Consulting,Medium,gemma3:4b,ollama_local,4,0.4479,DONE,6,1,10
P16,Consulting,Detailed,gemma3:4b,ollama_local,4,0.6421,DONE,10,2,5
P17,Consulting,Detailed,gemma3:4b,ollama_local,4,0.4785,DONE,6,2,9
P18,Consulting,Detailed,gemma3:4b,ollama_local,4,0.5501,DONE,7,3,7
P19,Consulting,Detailed,gemma3:4b,ollama_local,4,0.409,DONE,6,0,11
P20,Consulting,Detailed,gemma3:4b,ollama_local,4,0.4806,DONE,6,2,9
P21,Medical,Ultra-vague,gemma3:4b,ollama_local,5,0.6089,DONE,8,1,8
P22,Medical,Ultra-vague,gemma3:4b,ollama_local,4,0.3564,DONE,4,7,6
P23,Medical,Medium,gemma3:4b,ollama_local,4,0.2079,DONE,3,0,14
P24,Medical,Medium,gemma3:4b,ollama_local,4,0.5198,DONE,7,3,7
P25,Medical,Medium,gemma3:4b,ollama_local,4,0.5396,DONE,8,0,9
P26,Medical,Detailed,gemma3:4b,ollama_local,4,0.6337,DONE,10,1,6
P27,Medical,Medium,gemma3:4b,ollama_local,5,0.4901,DONE,7,2,8
P28,Medical,Medium,gemma3:4b,ollama_local,5,0.3713,DONE,5,1,11
P29,Medical,Detailed,gemma3:4b,ollama_local,4,0.5347,DONE,7,2,8
P30,Medical,Ultra-vague,gemma3:4b,ollama_local,5,0.6683,DONE,9,2,6
P31,Medical,Medium,gemma3:4b,ollama_local,4,0.1683,DONE,3,2,12
P32,Medical,Medium,gemma3:4b,ollama_local,4,0.2673,DONE,4,5,8
P33,Medical,Detailed,gemma3:4b,ollama_local,4,0.802,DONE,12,1,4
P34,Medical,Detailed,gemma3:4b,ollama_local,4,0.7228,DONE,10,0,7
P35,Medical,Detailed,gemma3:4b,ollama_local,4,0.6832,DONE,10,0,7
P36,Payments,Ultra-vague,gemma3:4b,ollama_local,4,0.271,DONE,4,0,7
P37,Payments,Ultra-vague,gemma3:4b,ollama_local,4,0.0841,DONE,2,0,9
P38,Payments,Ultra-vague,gemma3:4b,ollama_local,4,0.271,DONE,4,0,7
P39,Payments,Ultra-vague,gemma3:4b,ollama_local,4,0.243,DONE,3,1,7
P40,Payments,Ultra-vague,gemma3:4b,ollama_local,5,0.243,DONE,3,2,6
P41,Payments,Medium,gemma3:4b,ollama_local,4,0.6355,DONE,7,0,4
P42,Payments,Medium,gemma3:4b,ollama_local,5,0.3925,DONE,3,1,7
P43,Payments,Medium,gemma3:4b,ollama_local,4,0.2897,DONE,5,0,6
P44,Payments,Detailed,gemma3:4b,ollama_local,4,0.4766,DONE,7,1,3
P45,Payments,Medium,gemma3:4b,ollama_local,4,0.3551,DONE,3,4,4
P46,Payments,Detailed,gemma3:4b,ollama_local,4,0.1682,DONE,5,0,6
P47,Payments,Medium,gemma3:4b,ollama_local,4,0.0374,DONE,1,0,10
P48,Payments,Detailed,gemma3:4b,ollama_local,4,0.7944,DONE,9,0,2
P49,Payments,Detailed,gemma3:4b,ollama_local,5,0.7477,DONE,6,0,5
P50,Payments,Ultra-vague,gemma3:4b,ollama_local,4,0.2056,DONE,2,2,7
