prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
P01,Consulting,Ultra-vague,llama3.1:8b,ollama_local,7,0.5757,DONE,8,0,9
P02,Consulting,Ultra-vague,llama3.1:8b,ollama_local,6,0.2894,DONE,4,2,11
P03,Consulting,Ultra-vague,llama3.1:8b,ollama_local,6,0.4018,DONE,5,0,12
P04,Consulting,Ultra-vague,llama3.1:8b,ollama_local,7,0.3937,DONE,5,1,11
P05,Consulting,Ultra-vague,llama3.1:8b,ollama_local,6,0.2198,DONE,3,5,9
P06,Consulting,Medium,llama3.1:8b,ollama_local,6,0.5297,DONE,7,1,9
P07,Consulting,Medium,llama3.1:8b,ollama_local,6,0.4785,DONE,7,0,10
P08,Consulting,Medium,llama3.1:8b,ollama_local,6,0.4223,DONE,6,2,9
P09,Consulting,Medium,llama3.1:8b,ollama_local,6,0.3579,DONE,5,0,12
P10,Consulting,Medium,llama3.1:8b,ollama_local,5,0.4908,DONE,6,0,11
P11,Consulting,Medium,llama3.1:8b,ollama_local,6,0.5266,DONE,7,1,9
P12,Consulting,Medium,llama3.1:8b,ollama_local,6,0.4479,DONE,6,1,10
P13,Consulting,Medium,llama3.1:8b,ollama_local,6,0.4192,DONE,5,1,11
P14,Consulting,Medium,llama3.1:8b,ollama_local,5,0.4018,DONE,5,2,10
P15,Consulting,Medium,llama3.1:8b,ollama_local,6,0.4479,DONE,6,0,11
P16,Consulting,Detailed,llama3.1:8b,ollama_local,5,0.6779,DONE,10,3,4
P17,Consulting,Detailed,llama3.1:8b,ollama_local,6,0.4785,DONE,6,2,9
P18,Consulting,Detailed,llama3.1:8b,ollama_local,6,0.591,DONE,8,1,8
P19,Consulting,Detailed,llama3.1:8b,ollama_local,6,0.5092,DONE,6,1,10
P20,Consulting,Detailed,llama3.1:8b,ollama_local,6,0.5706,DONE,8,0,9
P21,Medical,Ultra-vague,llama3.1:8b,ollama_local,6,0.4208,DONE,6,6,5
P22,Medical,Ultra-vague,llama3.1:8b,ollama_local,6,0.1881,DONE,3,8,6
P23,Medical,Medium,llama3.1:8b,ollama_local,6,0.3069,DONE,6,6,5
P24,Medical,Medium,llama3.1:8b,ollama_local,5,0.495,DONE,7,2,8
P25,Medical,Medium,llama3.1:8b,ollama_local,6,0.1832,DONE,3,0,14
P26,Medical,Detailed,llama3.1:8b,ollama_local,6,0.6535,DONE,11,0,6
P27,Medical,Medium,llama3.1:8b,ollama_local,6,0.4505,DONE,8,3,6
P28,Medical,Medium,llama3.1:8b,ollama_local,6,0.4653,DONE,7,3,7
P29,Medical,Detailed,llama3.1:8b,ollama_local,6,0.6386,DONE,10,1,6
P30,Medical,Ultra-vague,llama3.1:8b,ollama_local,6,0.4851,DONE,8,3,6
P31,Medical,Medium,llama3.1:8b,ollama_local,6,0.2376,DONE,5,2,10
P32,Medical,Medium,llama3.1:8b,ollama_local,6,0.6683,DONE,9,5,3
P33,Medical,Detailed,llama3.1:8b,ollama_local,6,0.9208,DONE,14,1,2
P34,Medical,Detailed,llama3.1:8b,ollama_local,5,0.6287,DONE,9,3,5
P35,Medical,Detailed,llama3.1:8b,ollama_local,5,0.703,DONE,12,1,4
P36,Payments,Ultra-vague,llama3.1:8b,ollama_local,6,0.4673,DONE,6,1,4
P37,Payments,Ultra-vague,llama3.1:8b,ollama_local,6,0.3178,DONE,2,2,7
P38,Payments,Ultra-vague,llama3.1:8b,ollama_local,6,0.2804,DONE,5,0,6
P39,Payments,Ultra-vague,llama3.1:8b,ollama_local,6,0.486,DONE,6,1,4
P40,Payments,Ultra-vague,llama3.1:8b,ollama_local,6,0.1308,DONE,4,1,6
P41,Payments,Medium,llama3.1:8b,ollama_local,6,0.6542,DONE,7,0,4
P42,Payments,Medium,llama3.1:8b,ollama_local,6,0.5327,DONE,5,1,5
P43,Payments,Medium,llama3.1:8b,ollama_local,6,0.6916,DONE,9,1,1
P44,Payments,Detailed,llama3.1:8b,ollama_local,5,0.7944,DONE,9,0,2
P45,Payments,Medium,llama3.1:8b,ollama_local,6,0.5607,DONE,5,0,6
P46,Payments,Detailed,llama3.1:8b,ollama_local,6,0.3271,DONE,6,0,5
P47,Payments,Medium,llama3.1:8b,ollama_local,6,0.215,DONE,3,1,7
P48,Payments,Detailed,llama3.1:8b,ollama_local,6,0.6355,DONE,8,0,3
P49,Payments,Detailed,llama3.1:8b,ollama_local,6,0.7664,DONE,7,2,2
P50,Payments,Ultra-vague,llama3.1:8b,ollama_local,6,0.2056,DONE,2,1,8
